serieID,avgRating
1,3.0039
2,2.9879
3,3.0249
4,3.0066
5,2.9793
6,3.0242
7,3.0006
8,3.0097
9,2.996
10,2.9982
11,3.0248
12,3.0472
13,3.0376
14,2.9805
15,2.9691
16,3.0434
17,3.0068
18,3.0053
19,2.9925
20,3.009
21,3.0066
22,2.9844
23,2.978
24,2.9833
25,2.9914
26,3.0269
27,3.0378
28,2.9981
29,2.997
30,3.0364
31,3.0085
32,2.9911
33,3.0018
34,3.0297
35,3.0055
36,3.0213
37,3.019
38,3.0233
39,2.9833
40,2.9866
41,3.0114
42,3.0671
43,3.0501
44,2.9678
45,3.0016
46,3.0207
47,3.0024
48,2.9897
49,2.9421
50,2.9422
51,2.986
52,3.0231
53,3.0232
54,3.038
55,2.943
56,2.9828
57,3.0308
58,3.0209
59,3.0062
60,2.985
61,3.0669
62,2.9482
63,3.0015
64,2.9966
65,3.0116
66,2.9868
67,2.9561
68,3.0432
69,3.0345
70,2.9696
71,2.9795
72,3.0133
73,2.9916
74,3.0374
75,2.9984
76,3.0067
77,3.0413
78,2.989
79,2.9691
80,2.937
81,3.0119
82,3.0151
83,2.9527
84,3.0025
85,3.013
86,2.9979
87,2.9922
88,2.9959
89,2.9901
90,2.9838
91,2.9718
92,2.9983
93,2.9824
94,3.0096
95,3.0011
96,2.976
97,2.9811
98,2.984
99,3.028
100,2.982
101,2.9743
102,3.0091
103,2.9979
104,3.0036
105,3.0375
106,3.0156
107,3.0097
108,3.0218
109,2.9758
110,2.9937
111,2.9556
112,3.0096
113,3.0204
114,3.0027
115,2.9922
116,2.9893
117,3.0162
118,2.9928
119,2.9813
120,2.9937
121,3.0192
122,3.0383
123,3.0375
124,3.0076
125,2.9424
126,2.9859
127,2.9846
128,2.9986
129,3.024
130,2.9668
131,2.9642
132,2.9953
133,3.0042
134,2.9962
135,2.9934
136,2.988
137,3.0067
138,3.0289
139,2.9406
140,2.9982
141,3.0286
142,3.0015
143,3.0018
144,3.0038
145,2.9187
146,3.0046
147,3.0087
148,3.0522
149,3.0267
150,3.008
151,3.0118
152,3.0098
153,3.0421
154,3.0153
155,2.9917
156,3.0072
157,2.9447
158,3.0255
159,3.0452
160,2.9922
161,2.9654
162,2.9994
163,2.9722
164,2.9919
165,3.0158
166,2.9503
167,3.0168
168,3.0164
169,3.0159
170,3.0442
171,3.0021
172,2.9912
173,3.0041
174,2.9851
175,3.0078
176,3.0114
177,2.995
178,3.0128
179,3.0419
180,3.0317
181,2.9963
182,3.0107
183,2.9711
184,2.9894
185,2.9828
186,3.0163
187,3.0268
188,2.9682
189,3.0293
190,2.9731
191,3.0028
192,3.002
193,2.9993
194,2.9956
195,2.9921
196,3.0089
197,3.0305
198,2.9874
199,2.9961
200,2.9661
201,3.0326
202,3.0116
203,3.0003
204,2.9817
205,2.9837
206,2.9856
207,2.9979
208,3.0027
209,3.0199
210,3.0107
211,2.9754
212,2.9938
213,3.0063
214,2.9652
215,2.978
216,2.9975
217,3.0038
218,3.017
219,2.988
220,3.039
221,3.0034
222,3.0211
223,2.9807
224,3.0017
225,3.0167
226,3.0026
227,3.0166
228,3.0236
229,2.9901
230,3.0129
231,2.9961
232,2.9652
233,3.0243
234,2.9767
235,2.9902
236,2.9612
237,2.9532
238,2.9892
239,3.0064
240,3.0044
241,3.0182
242,2.988
243,3.037
244,2.9779
245,2.9913
246,2.9554
247,2.9774
248,2.9937
249,2.9439
250,2.947
251,2.9429
252,2.9502
253,3.0069
254,2.9827
255,3.0028
256,3.0117
257,3.02
258,3.0148
259,2.993
260,2.9879
261,2.9851
262,2.9841
263,2.99
264,2.9806
265,2.978
266,3.0288
267,3.0382
268,2.991
269,2.9953
270,2.9795
271,2.9789
272,3.0286
273,3.0056
274,2.9101
275,3.0637
276,2.9798
277,3.0063
278,2.9935
279,2.9598
280,3.0112
281,3.0011
282,3.0015
283,3.0308
284,2.9842
285,2.9937
286,3.0146
287,3.0126
288,3.0013
289,3.0054
290,2.9441
291,3.0265
292,3.0223
293,2.9124
294,3.0062
295,2.9781
296,3.0196
297,3.0365
298,3.0349
299,3.0133
300,2.9831
301,3.0263
302,3.0394
303,2.9969
304,2.9242
305,3.038
306,2.9879
307,3.0109
308,3.005
309,3.0115
310,3.0156
311,2.9898
312,2.9458
313,2.9415
314,2.9674
315,2.9922
316,2.9938
317,3.0341
318,3.0296
319,2.9896
320,3.0337
321,2.9947
322,2.9733
323,2.9128
324,3.0277
325,3.0074
326,3.0304
327,3.0122
328,2.9936
329,3.0383
330,3.0066
331,3.0104
332,3.0541
333,3.0121
334,3.0039
335,2.9905
336,2.9094
337,2.9969
338,3.0396
339,2.9341
340,3.0238
341,3.0443
342,3.0026
343,3.0167
344,2.9698
345,3.0052
346,2.9731
347,3.0002
348,3.0339
349,2.975
350,2.9876
351,2.9953
352,2.9697
353,2.9671
354,2.9943
355,3.0408
356,2.9942
357,2.9796
358,3.009
359,2.9943
360,2.9894
361,3.0011
362,3.0234
363,2.985
364,3.0104
365,3.0222
366,3.0566
367,2.9969
368,3.0091
369,3.0461
370,3.0114
371,2.9887
372,2.9826
373,3.0288
374,2.9737
375,2.9876
376,3.0783
377,3.0161
378,2.9827
379,3.0023
380,2.9523
381,3.003
382,2.9982
383,3.0289
384,3.0758
385,2.9848
386,2.984
387,3.0122
388,3.0361
389,3.0182
390,2.9791
391,2.9824
392,3.0011
393,3.0365
394,3.0023
395,2.9659
396,3.0078
397,2.9799
398,3.0085
399,3.0
400,3.0123
401,2.9934
402,3.0359
403,3.0132
404,2.9669
405,3.0169
406,2.9668
407,3.0038
408,2.964
409,3.0018
410,2.985
411,3.0241
412,2.9896
413,3.0055
414,3.0516
415,2.9824
416,3.0182
417,3.0217
418,3.0255
419,3.0139
420,2.9903
421,2.9957
422,2.9711
423,3.0
424,2.9905
425,2.9921
426,3.0433
427,3.0461
428,3.0225
429,3.0051
430,3.0204
431,2.9946
432,2.984
433,2.973
434,3.0285
435,3.0129
436,2.9751
437,3.0152
438,3.0425
439,3.0188
440,2.9968
441,2.9821
442,3.0394
443,2.9826
444,2.9844
445,3.0086
446,2.9763
447,3.001
448,2.941
449,3.0061
450,2.9815
451,3.0071
452,3.0478
453,2.983
454,2.9769
455,3.0137
456,3.0244
457,2.9938
458,2.99
459,3.0345
460,3.0084
461,2.9747
462,3.0228
463,2.991
464,2.9932
465,3.0063
466,2.999
467,2.9972
468,3.0069
469,3.0215
470,3.0454
471,3.0213
472,2.992
473,3.0036
474,3.0607
475,2.9605
476,2.9897
477,3.0514
478,3.0134
479,2.9828
480,2.9915
481,3.031
482,2.9848
483,3.0026
484,3.0142
485,3.0193
486,3.0101
487,3.0625
488,2.9944
489,2.9978
490,2.9887
491,2.9816
492,2.9815
493,3.0227
494,3.0011
495,3.002
496,3.0087
497,3.017
498,3.014
499,3.0281
500,2.9806
