actorID,filmID,actorFilmID
1,1,475
1,2,476
1,3,477
1,4,478
1,5,479
1,6,480
1,7,481
1,8,482
1,9,483
1,10,484
1,11,485
1,12,486
1,13,487
1,14,488
1,15,489
1,16,490
1,17,491
1,18,492
1,19,493
1,20,494
1,21,495
1,22,496
1,23,497
1,24,498
1,25,499
1,26,500
1,27,501
1,28,502
1,29,503
1,30,504
1,31,505
1,32,506
1,33,507
1,34,508
1,35,509
1,36,510
1,37,511
1,38,512
1,39,513
1,40,514
1,41,515
1,42,516
1,43,517
1,44,518
1,45,519
1,46,520
1,47,521
1,48,522
1,49,523
1,50,524
1,51,525
1,52,526
1,53,527
1,54,528
1,55,529
1,56,530
1,57,531
1,58,532
1,59,533
1,60,534
1,61,535
1,62,536
1,63,537
1,64,538
1,65,539
1,66,540
1,67,541
1,68,542
1,69,543
1,70,544
1,71,545
1,72,546
1,73,547
1,74,548
1,75,549
1,76,550
1,77,551
1,78,552
1,79,553
1,80,554
1,81,555
1,82,556
1,83,557
1,84,558
1,85,559
1,86,560
1,87,561
1,88,562
1,89,563
1,90,564
1,91,565
1,92,566
1,93,567
1,94,568
1,95,569
1,96,570
1,97,571
1,98,572
1,99,573
1,100,574
1,101,575
1,102,576
1,103,577
1,104,578
1,105,579
1,106,580
1,107,581
1,108,582
1,109,583
1,110,584
1,111,585
1,112,586
1,113,587
1,114,588
1,115,589
1,116,590
1,117,591
1,118,592
1,119,593
1,120,594
1,121,595
1,122,596
1,123,597
1,124,598
1,125,599
1,126,600
1,127,601
1,128,602
1,129,603
1,130,604
1,131,605
1,132,606
1,133,607
1,134,608
1,135,609
1,136,610
1,137,611
1,138,612
1,139,613
1,140,614
1,141,615
1,142,616
1,143,617
1,144,618
1,145,619
1,146,620
1,147,621
1,148,622
1,149,623
1,150,624
1,151,625
1,152,626
1,153,627
1,154,628
1,155,629
1,156,630
1,157,631
1,158,632
1,159,633
1,160,634
1,161,635
1,162,636
1,163,637
1,164,638
1,165,639
1,166,640
1,167,641
1,168,642
1,169,643
1,170,644
1,171,645
1,172,646
1,173,647
1,174,648
1,175,649
1,176,650
1,177,651
1,178,652
1,179,653
1,180,654
1,181,655
1,182,656
1,183,657
1,184,658
1,185,659
1,186,660
1,187,661
1,188,662
1,189,663
1,190,664
1,191,665
1,192,666
1,193,667
1,194,668
1,195,669
1,196,670
1,197,671
1,198,672
1,199,673
1,200,674
1,201,675
1,202,676
1,203,677
1,204,678
1,205,679
1,206,680
1,207,681
1,208,682
1,209,683
1,210,684
1,211,685
1,212,686
1,213,687
1,214,688
1,215,689
1,216,690
1,217,691
1,218,692
1,219,693
1,220,694
1,221,695
1,222,696
1,223,697
1,224,698
1,225,699
1,226,700
1,227,701
1,228,702
1,229,703
1,230,704
1,231,705
1,232,706
1,233,707
1,234,708
1,235,709
1,236,710
1,237,711
1,238,712
1,239,713
1,240,714
1,241,715
1,242,716
1,243,717
1,244,718
1,245,719
1,246,720
1,247,721
1,248,722
1,249,723
1,250,724
1,251,725
1,252,726
1,253,727
1,254,728
1,255,729
1,256,730
1,257,731
1,258,732
1,259,733
1,260,734
1,261,735
1,262,736
1,263,737
1,264,738
1,265,739
1,266,740
1,267,741
1,268,742
1,269,743
1,270,744
1,271,745
1,272,746
1,273,747
1,274,748
1,275,749
1,276,750
1,277,751
1,278,752
1,279,753
1,280,754
1,281,755
1,282,756
1,283,757
1,284,758
1,285,759
1,286,760
1,287,761
1,288,762
1,289,763
1,290,764
1,291,765
1,292,766
1,293,767
1,294,768
1,295,769
1,296,770
1,297,771
1,298,772
1,299,773
1,300,774
1,301,775
1,302,776
1,303,777
1,304,778
1,305,779
1,306,780
1,307,781
1,308,782
1,309,783
1,310,784
1,311,785
1,312,786
1,313,787
1,314,788
1,315,789
1,316,790
1,317,791
1,318,792
1,319,793
1,320,794
1,321,795
1,322,796
1,323,797
1,324,798
1,325,799
1,326,800
1,327,801
1,328,802
1,329,803
1,330,804
1,331,805
1,332,806
1,333,807
1,334,808
1,335,809
1,336,810
1,337,811
1,338,812
1,339,813
1,340,814
1,341,815
1,342,816
1,343,817
1,344,818
1,345,819
1,346,820
1,347,821
1,348,822
1,349,823
1,350,824
1,351,825
1,352,826
1,353,827
1,354,828
1,355,829
1,356,830
1,357,831
1,358,832
1,359,833
1,360,834
1,361,835
1,362,836
1,363,837
1,364,838
1,365,839
1,366,840
1,367,841
1,368,842
1,369,843
1,370,844
1,371,845
1,372,846
1,373,847
1,374,848
1,375,849
1,376,850
1,377,851
1,378,852
1,379,853
1,380,854
1,381,855
1,382,856
1,383,857
1,384,858
1,385,859
1,386,860
1,387,861
1,388,862
1,389,863
1,390,864
1,391,865
1,392,866
1,393,867
1,394,868
1,395,869
1,396,870
1,397,871
1,398,872
1,399,873
1,400,874
1,401,875
1,402,876
1,403,877
1,404,878
1,405,879
1,406,880
1,407,881
1,408,882
1,409,883
1,410,884
1,411,885
1,412,886
1,413,887
1,414,888
